Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
73	2.592070968945821	377702	5174	2826.0721481990035	-1431.5405	167.14505	-1111.5367	-1647.5062	199.0	0.0
74	2.6222615281740826	382876	5174	2856.7716739340945	-1372.8185	165.86816	-1116.5332	-1649.1125	199.0	0.0
75	2.6531520247459413	388050	5174	2792.0837944385353	-1435.1863	160.1404	-1172.9534	-1654.6515	199.0	0.0
76	2.683566625912984	393224	5174	2835.723021446423	-1412.2728	184.02097	-1120.06	-1650.5878	199.0	0.0
77	2.7147587060928347	398398	5174	2764.9668423056323	-1448.5515	191.69481	-1048.7535	-1653.08	199.0	0.0
78	2.745223053296407	403572	5174	2831.0987585935545	-1376.1425	202.3851	-1023.69824	-1652.7153	199.0	0.0
79	2.775726036230723	408746	5174	2827.567129890219	-1393.5948	208.90622	-968.4099	-1647.6376	199.0	0.0
80	2.806151755650838	413920	5174	2834.6966121179908	-1439.5052	186.62541	-965.952	-1651.842	199.0	0.0
81	2.9495336612065635	419094	5174	601.4449341316781	-1453.4923	179.65419	-952.42957	-1654.0667	199.0	0.0
82	2.9801913142204284	424268	5174	2813.2623971391004	-1394.3365	234.53725	-880.13367	-1654.0774	199.0	0.0
83	3.0107834378878278	429442	5174	2819.2957539458953	-1398.9402	211.73398	-941.39465	-1650.6432	199.0	0.0
84	3.0414784948031106	434616	5174	2809.739449006287	-1432.5514	203.06038	-1039.2461	-1649.5217	199.0	0.0
85	3.0723085443178815	439790	5174	2797.5122094906687	-1365.9187	202.87173	-946.97876	-1653.1116	199.0	0.0
86	3.1031469225883486	444964	5174	2796.6689583342463	-1468.0692	179.11064	-951.11566	-1654.4061	199.0	0.0
87	3.1336341977119444	450138	5174	2829.0024734657122	-1463.4349	162.19923	-1138.5405	-1646.6628	199.0	0.0
88	3.165589205423991	455312	5174	2698.955754138446	-1380.6206	217.07573	-964.7223	-1648.1204	199.0	0.0
89	3.196254471937815	460486	5174	2812.4438868860275	-1419.3021	185.4736	-961.0498	-1654.0917	199.0	0.0
90	3.226795971393585	465660	5174	2824.8188348947638	-1413.7896	175.30771	-1055.4633	-1645.133	199.0	0.0
91	3.257512323061625	470834	5174	2808.19420954756	-1405.0122	206.38902	-965.38293	-1649.7535	199.0	0.0
92	3.2879603544871014	476008	5174	2832.5173567209235	-1483.7124	137.63397	-1188.5876	-1653.1609	199.0	0.0
93	3.318146808942159	481182	5174	2857.066540559698	-1453.011	172.9091	-953.12415	-1654.3722	199.0	0.0
94	3.349398140112559	486356	5174	2759.7379269177127	-1452.297	218.61249	-966.82837	-1651.2268	199.0	0.0
95	3.379702663421631	491530	5174	2846.0811463784985	-1485.7737	169.64355	-1137.7588	-1653.2325	199.0	0.0
96	3.4102062145868937	496704	5174	2827.4577143111023	-1472.2976	180.85507	-1075.3142	-1652.8984	199.0	0.0
