Iteration	Time	TimestepsSoFar	TimestepsThisBatch	fps	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd
82	14.797820909818013	439211	5994	474.5739805034105	-82.26587	22.015097	-53.748753	-122.04136	999.0	0.0
83	15.057480005423228	444937	5726	367.5395984433816	-97.10317	18.00335	-67.9588	-121.54366	954.3333333333334	99.87770299499061
84	15.31360997358958	450931	5994	390.0421249360652	-70.470825	19.682709	-43.620926	-107.85191	999.0	0.0
85	15.575805795192718	456925	5994	381.0184686820036	-65.4965	10.071673	-55.2346	-80.88003	999.0	0.0
86	15.773374835650126	462919	5994	505.6568156409839	-36.01843	18.269392	-4.9694214	-52.333927	999.0	0.0
87	15.967593781153361	468299	5380	461.6881216464073	-51.366287	128.43033	105.4871	-245.72702	896.6666666666666	133.0396766215085
88	16.110493898391724	473371	5072	591.5728675418814	-7.5019364	70.438095	144.77408	-64.05688	845.3333333333334	221.149773280965
89	16.363249011834462	478574	5203	343.0909223427507	49.042774	105.53483	203.9879	-60.890522	743.2857142857143	235.3166342767696
90	16.53967051903407	483797	5223	493.4323470490012	77.033905	145.83116	224.26703	-225.7915	522.3	175.48678012887467
91	16.722546978791556	489312	5515	502.63180343329384	58.674385	120.99973	205.40561	-128.65652	551.5	205.95399971838373
92	16.871029317378998	494501	5189	582.4637565553537	65.20849	150.84079	241.33974	-246.33694	471.72727272727275	159.3738263609355
93	16.982913998762765	499551	5050	752.2891520050463	27.980913	162.27312	238.0047	-263.93277	360.7142857142857	97.48291320712023
94	17.09488736788432	504737	5186	771.9381942965256	38.37437	126.08015	235.08374	-132.48361	345.73333333333335	129.98126360706334
95	17.205576630433402	509821	5084	765.5403177690861	113.17256	138.60767	242.82462	-179.55841	338.93333333333334	73.99951951795963
96	17.34630035161972	515166	5345	633.0615505670742	110.43697	122.43059	253.66237	-111.56868	411.15384615384613	96.25354830929703
97	17.5147457242012	520344	5178	512.3463499133901	75.73389	128.74637	209.02402	-124.96335	470.72727272727275	226.82355613964506
98	17.633951048056286	525355	5011	700.6369921494909	90.75849	122.8788	222.81294	-157.32504	334.06666666666666	79.30823132283025
99	17.7590447584788	530618	5263	701.2302585450857	28.916094	130.33385	250.25246	-186.37369	350.8666666666667	158.33924199501385
100	17.88973089456558	536022	5404	689.2047988025981	56.497776	138.26683	230.9129	-138.94203	386.0	94.8329358096949
1	0.05041898488998413	5055	5055	1670.9960968963376	-184.31874	120.169655	9.725693	-490.20584	97.21153846153847	21.61137212963221
2	0.09991609652837118	10163	5108	1720.1250394814954	-135.16562	65.11445	10.944984	-340.6405	91.21428571428571	23.06877472573996
3	0.1475224256515503	15192	5029	1760.8308556274549	-127.44299	57.188118	-45.505173	-325.80972	91.43636363636364	20.875181990595816
4	0.1947352131207784	20214	5022	1773.3640454512315	-121.94655	51.993393	28.566833	-357.93588	91.30909090909091	20.223184469381785
5	0.2433693011601766	25302	5088	1743.7852895465799	-107.811035	43.20543	30.735123	-207.47168	90.85714285714286	21.232075273231377
6	0.29086551268895466	30325	5023	1762.754814716952	-115.27282	47.47446	-60.66181	-323.88513	91.32727272727273	19.968206133710336
7	0.3397245685259501	35355	5030	1716.0183534548887	-109.56422	57.02525	0.88853455	-332.01227	91.45454545454545	21.75300872131835
8	0.3890555580457052	40418	5063	1710.739859164472	-109.12757	57.90614	21.436478	-387.8157	92.05454545454545	20.031264818975707
9	0.43845178683598834	45475	5057	1706.4158411444653	-106.375084	44.48583	-40.862103	-291.27914	93.64814814814815	18.88087157377698
10	0.4890925168991089	50562	5087	1674.4536668361804	-118.42239	68.73961	18.509308	-382.7962	99.74509803921569	19.46323143600684
11	0.5393518686294556	55632	5070	1681.4138122790662	-101.83901	52.199	24.761806	-303.39478	93.88888888888889	21.04991129273705
12	0.5916206081708272	60704	5072	1617.413013806946	-86.09014	33.11307	-44.405415	-205.70349	99.45098039215686	22.620755457548356
13	0.6433830420176189	65736	5032	1620.40424375218	-89.942345	40.3222	-28.488586	-250.73697	104.83333333333333	22.840327395980022
14	0.6964298129081726	70785	5049	1586.5087529759624	-75.60531	42.71349	26.225296	-202.11319	109.76086956521739	24.06981221599831
15	0.7503765861193339	75807	5022	1551.9616538543605	-76.83575	39.215862	24.291107	-194.62901	111.6	26.020846343738405
16	0.8059002161026001	80857	5050	1515.9858977158544	-50.43058	39.47061	42.97751	-207.49799	126.25	23.103841671895175
17	0.8641891201337178	85931	5074	1450.9587640624939	-52.613117	34.326454	8.843405	-199.663	130.10256410256412	33.209355240303296
18	0.9258155067761739	90992	5061	1368.824112187054	-42.153557	39.773293	27.822113	-146.61491	148.85294117647058	41.83590658256105
19	0.9919166366259257	96185	5193	1309.4429117759994	-52.493576	47.62623	36.85344	-160.9961	157.36363636363637	42.089240100427155
20	1.1404662688573202	101363	5178	580.9691381381798	-73.737686	78.61743	36.154392	-268.33688	323.625	273.6628571344676
21	1.4436124046643575	107010	5647	310.4828034868217	-124.872894	135.08017	0.86159515	-515.9623	434.38461538461536	319.7543620828431
22	1.6256576259930928	112540	5530	506.296650116955	-184.2425	156.56311	-31.923767	-637.8621	425.38461538461536	254.6229606123649
23	1.8146848638852437	117649	5109	450.476634179016	-230.99722	155.09001	-3.9816399	-521.85236	464.45454545454544	252.68030956719838
24	1.991814426581065	123469	5820	547.6340168724187	-167.38628	171.1361	36.04095	-605.16974	388.0	240.204912522621
25	2.158580207824707	128549	5080	507.74205570881264	-102.427666	71.52241	-1.0605736	-226.16833	390.7692307692308	272.370266604447
26	2.266560145219167	133609	5060	781.0517056450136	-186.96954	106.0317	9.903044	-425.60757	297.6470588235294	129.95788511327117
